,gene_accession,Class,Phenotype,Mechanism of resistance,gene,accession
187,aac(6')-Ian_1_AP014611,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-Ian_1,AP014611
188,aac(6')-Ib_1_M21682,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Ib_1,M21682
189,aac(6')-Ib_2_M23634,Aminoglycoside,"Amikacin, Tobramycin, Kanamycin",Enzymatic modification,aac(6')-Ib_2,M23634
190,aac(6')-Ib11_1_AY136758,Aminoglycoside,"Amikacin, Gentamicin, Tobramycin, Netilmicin",Enzymatic modification,aac(6')-Ib11_1,AY136758
191,aac(6')-Ib3_1_X60321,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Ib3_1,X60321
192,aac(6')-Ib-cr_1_DQ303918,"Aminoglycoside,Fluoroquinolone","Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin,Fluoroquinolone,Ciprofloxacin",Enzymatic modification,aac(6')-Ib-cr_1,DQ303918
193,aac(6')-Ib-cr_2_EF636461,"Aminoglycoside,Fluoroquinolone","Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin,Fluoroquinolone,Ciprofloxacin",Enzymatic modification,aac(6')-Ib-cr_2,EF636461
194,aac(6')-Ib-Hangzhou_1_FJ503047,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Ib-Hangzhou_1,FJ503047
195,aac(6')-Ib-Suzhou_1_EU085533,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Ib-Suzhou_1,EU085533
196,aac(6')-Ic_1_M94066,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-Ic_1,M94066
197,aac(6')-If_1_X55353,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-If_1,X55353
198,aac(6')-Ig_1_L09246,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-Ig_1,L09246
199,aac(6')-Ih_1_L29044,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-Ih_1,L29044
200,aac(6')-Ih_2_KT778788,Aminoglycoside,"Amikacin, Tobramycin, Netilmicin",Enzymatic modification,aac(6')-Ih_2,KT778788
201,aac(6')-Ii_1_L12710,Aminoglycoside,"Tobramycin,Dibekacin,Gentamicin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-Ii_1,L12710
202,aac(6')-IIa_1_M29695,Aminoglycoside,"Tobramycin,Dibekacin,Gentamicin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-IIa_1,M29695
203,aac(6')-IIb_1_L06163,Aminoglycoside,"Tobramycin,Dibekacin,Gentamicin,Sisomicin,Netilmicin",Enzymatic modification,aac(6')-IIb_1,L06163
204,aac(6')-IIc_1_NC_012555,Aminoglycoside,"Gentamicin, Tobramycin",Enzymatic modification,aac(6')-IIc_1,12555
205,aac(6')-Iid_1_AJ584700,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Iid_1,AJ584700
206,aac(6')-Iih_1_AJ584701,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Iih_1,AJ584701
207,aac(6')-Ij_1_L29045,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Ij_1,L29045
208,aac(6')-Ik_1_L29510,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Ik_1,L29510
209,aac(6')-Il_1_U13880,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Il_1,U13880
210,aac(6')-Im_1_AF337947,Aminoglycoside,"Amikacin, Tobramycin, Kanamycin",Enzymatic modification,aac(6')-Im_1,AF337947
211,aac(6')-Ip_1_Z54241,Aminoglycoside,"Amikacin, Tobramycin, Netilmicin",Enzymatic modification,aac(6')-Ip_1,Z54241
212,aac(6')-Iq_1_AF047556,Aminoglycoside,"Amikacin, Tobramycin, Netilmicin, Kanamycin",Enzymatic modification,aac(6')-Iq_1,AF047556
213,aac(6')-Ir_1_AF031326,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Ir_1,AF031326
214,aac(6')-Is_1_AF031327,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Is_1,AF031327
215,aac(6')-Isa_1_AB116646,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Isa_1,AB116646
216,aac(6')-It_1_AF031328,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-It_1,AF031328
217,aac(6')-Iu_1_AF031329,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Iu_1,AF031329
218,aac(6')-Iv_1_AF031330,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Iv_1,AF031330
219,aac(6')-Iw_1_AF031331,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Iw_1,AF031331
220,aac(6')-Ix_1_AF031332,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Ix_1,AF031332
221,aac(6')-Iz_1_AF140221,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Iz_1,AF140221
222,aac(6')-Iz_2_AB971834,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Iz_2,AB971834
223,aac(6')-Iaa_1_NC_003197,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aac(6')-Iaa_1,3197
224,aacA43_1_HQ247816,Aminoglycoside,"Tobramycin,Dibekacin,Amikacin,Sisomicin,Netilmicin",Enzymatic modification,aacA43_1,HQ247816
225,aadA1_2_FJ591054,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA1_2,FJ591054
226,aadA1_3_JQ414041,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA1_3,JQ414041
227,aadA1_4_JQ480156,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA1_4,JQ480156
228,aadA1_5_JX185132,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA1_5,JX185132
229,aadA10_1_U37105,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA10_1,U37105
230,aadA10_2_AM087405,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA10_2,AM087405
231,aadA11_1_AY144590,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA11_1,AY144590
232,aadA11_2_AJ567827,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA11_2,AJ567827
233,aadA12_1_AY665771,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA12_1,AY665771
234,aadA13_1_AY713504,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA13_1,AY713504
235,aadA13_2_NC010643,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA13_2,NC010643
236,aadA14_1_AJ884726,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA14_1,AJ884726
237,aadA15_1_DQ393783,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA15_1,DQ393783
238,aadA16_1_EU675686,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA16_1,EU675686
239,aadA17_1_FJ460181,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA17_1,FJ460181
240,aadA1b_1_M95287,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA1b_1,M95287
241,aadA2_1_NC_010870,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA2_1,10870
242,aadA2_2_JQ364967,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA2_2,JQ364967
243,aadA21_1_AY171244,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA21_1,AY171244
244,aadA22_1_AM261837,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA22_1,AM261837
245,aadA23_1_AJ809407,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA23_1,AJ809407
246,aadA24_1_AM711129,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA24_1,AM711129
247,aadA24_1_DQ677333,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA24_1,DQ677333
248,aadA2b_1_D43625,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA2b_1,D43625
249,aadA3_1_AF047479,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA3_1,AF047479
250,aadA4_1_Z50802,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA4_1,Z50802
251,aadA5_1_AF137361,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA5_1,AF137361
252,aadA6_1_AF140629,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA6_1,AF140629
253,aadA7_1_AF224733,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA7_1,AF224733
254,aadA7_2_AB114632,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA7_2,AB114632
255,aadA8_1_AF326210,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA8_1,AF326210
256,aadA8b_1_AY139603,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA8b_1,AY139603
257,aadA8b_2_AM040708,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA8b_2,AM040708
258,aadA9_1_AJ420072,Aminoglycoside,"Spectinomycin,Streptomycin",Enzymatic modification,aadA9_1,AJ420072
259,aadD_1_AF181950,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aadD_1,AF181950
260,aadD_2_M19465,Aminoglycoside,"Amikacin, Tobramycin",Enzymatic modification,aadD_2,M19465
261,aadE-Cc_1_CP013733,Aminoglycoside,Streptomycin,Enzymatic modification,aadE-Cc_1,CP013733
262,aadK_1_M26879,Aminoglycoside,Streptomycin,Enzymatic modification,aadK_1,M26879
263,mecA_1_NC_002745,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA_1,2745
264,mecA_2_NC_002951,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA_2,2951
265,mecA_3_Y13095,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA_3,Y13095
266,mecA_4_AB546266,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA_4,AB546266
267,mecA_5_AB546267,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA_5,AB546267
268,mecA_6_BX571856,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA_6,BX571856
269,mecA_7_HE861945,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA_7,HE861945
270,mecA_8_NC_007168,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA_8,7168
271,mecA_9_AB505630,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA_9,AB505630
272,mecA1_1_AB547235,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA1_1,AB547235
273,mecA1_2_AY820253,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA1_2,AY820253
274,mecA1_3_Y13094,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA1_3,Y13094
275,mecA1_4_AB547236,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA1_4,AB547236
276,mecA1_5_AB547234,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA1_5,AB547234
277,mecA2_1_AM048811,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA2_1,AM048811
278,mecA2_2_AB546780,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecA2_2,AB546780
279,mecB_1_NC_011996,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecB_1,11996
280,mecC_1_FR821779,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecC_1,FR821779
281,mecC_2_FR823292,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecC_2,FR823292
282,mecC_3_KR732654,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecC_3,KR732654
283,mecC_4_HG515014,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecC_4,HG515014
284,mecC2_1_KF955540,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecC2_1,KF955540
285,mecD_1_KY013611,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Cefixime, Cefotaxime, Cefoxitin, Ceftazidime, Ertapenem, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Target modification,mecD_1,KY013611
286,blaOXA-1_1_HQ170510,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaOXA-1_1,HQ170510
287,blaOXA-2_1_DQ112222,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Ceftazidime, Piperacillin",Enzymatic inactivation,blaOXA-2_1,DQ112222
288,blaOXA-2_2_GQ466184,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Ceftazidime, Piperacillin",Enzymatic inactivation,blaOXA-2_2,GQ466184
289,blaOXA-3_1_L07945,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-3_1,L07945
290,blaOXA-4_1_AY162283,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-4_1,AY162283
291,blaOXA-5_1_AF347074,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-5_1,AF347074
292,blaOXA-7_1_X75562,Beta-lactam,"Amoxicillin, Ampicillin",Enzymatic inactivation,blaOXA-7_1,X75562
293,blaOXA-9_1_KQ089875,Beta-lactam,"Amoxicillin, Ampicillin",Enzymatic inactivation,blaOXA-9_1,KQ089875
294,blaOXA-10_1_J03427,Beta-lactam,"Amoxicillin, Ampicillin, Aztreonam, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaOXA-10_1,J03427
295,blaOXA-11_1_Z22590,Beta-lactam,"Cefepime, Ceftazidime, Piperacillin",Enzymatic inactivation,blaOXA-11_1,Z22590
296,blaOXA-13_1_U59183,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefotaxime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaOXA-13_1,U59183
297,blaOXA-14_1_KJ420612,Beta-lactam,"Cefepime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaOXA-14_1,KJ420612
298,blaOXA-15_1_U63835,Beta-lactam,"Amoxicillin, Ampicillin, Aztreonam, Ceftazidime, Piperacillin",Enzymatic inactivation,blaOXA-15_1,U63835
299,blaOXA-16_1_AF043100,Beta-lactam,"Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin",Enzymatic inactivation,blaOXA-16_1,AF043100
300,blaOXA-17_1_DQ902344,Beta-lactam,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime",Enzymatic inactivation,blaOXA-17_1,DQ902344
301,blaOXA-18_1_U85514,Beta-lactam,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin",Enzymatic inactivation,blaOXA-18_1,U85514
302,blaOXA-19_1_AF043381,Beta-lactam,"Amoxicillin, Ampicillin, Ceftazidime",Enzymatic inactivation,blaOXA-19_1,AF043381
303,blaOXA-20_1_AY307114,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid",Enzymatic inactivation,blaOXA-20_1,AY307114
304,blaOXA-20_2_AF024602,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid",Enzymatic inactivation,blaOXA-20_2,AF024602
305,blaOXA-21_1_AB626885,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-21_1,AB626885
306,blaOXA-22_1_AF064820,Beta-lactam,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaOXA-22_1,AF064820
307,blaOXA-23_1_AY795964,Beta-lactam,"Imipenem, Meropenem",Enzymatic inactivation,blaOXA-23_1,AY795964
308,blaOXA-24_1_AJ239129,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Cefepime, Ceftazidime, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaOXA-24_1,AJ239129
309,blaOXA-25_1_AF201826,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-25_1,AF201826
310,blaOXA-26_1_AF201827,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-26_1,AF201827
311,blaOXA-27_1_AF201828,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-27_1,AF201828
312,blaOXA-28_1_AF231133,Beta-lactam,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaOXA-28_1,AF231133
313,blaOXA-29_1_AJ400619,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-29_1,AJ400619
314,blaOXA-31_1_AF294653,Beta-lactam,"Amoxicillin, Ampicillin, Cefepime, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaOXA-31_1,AF294653
315,blaOXA-32_1_AF315351,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin",Enzymatic inactivation,blaOXA-32_1,AF315351
316,blaOXA-34_1_AF350424,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-34_1,AF350424
317,blaOXA-35_1_AF315786,Beta-lactam,"Amoxicillin, Ampicillin, Aztreonam, Piperacillin",Enzymatic inactivation,blaOXA-35_1,AF315786
318,blaOXA-36_1_AF300985,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-36_1,AF300985
319,blaOXA-37_1_AY007784,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-37_1,AY007784
320,blaOXA-42_1_AJ488302,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-42_1,AJ488302
321,blaOXA-43_1_AJ488303,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-43_1,AJ488303
322,blaOXA-45_1_AJ519683,Beta-lactam,"Amoxicillin, Ampicillin, Aztreonam, Cefepime, Cefixime, Cefotaxime, Ceftazidime, Piperacillin",Enzymatic inactivation,blaOXA-45_1,AJ519683
323,blaOXA-46_1_AF317511,Beta-lactam,"Amoxicillin, Ampicillin",Enzymatic inactivation,blaOXA-46_1,AF317511
324,blaOXA-47_1_AY237830,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaOXA-47_1,AY237830
325,blaOXA-48_1_AY236073,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Meropenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaOXA-48_1,AY236073
326,blaOXA-49_1_AY288523,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-49_1,AY288523
327,blaOXA-50_1_AY306130,Beta-lactam,"Amoxicillin, Ampicillin",Enzymatic inactivation,blaOXA-50_1,AY306130
328,blaOXA-51_1_DQ385606,Beta-lactam,"Amoxicillin, Ampicillin, Imipenem",Enzymatic inactivation,blaOXA-51_1,DQ385606
329,blaOXA-53_1_AY289608,Beta-lactam,Ceftazidime,Enzymatic inactivation,blaOXA-53_1,AY289608
330,blaOXA-54_1_AY500137,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Piperacillin, Piperacillin+Tazobactam",Enzymatic inactivation,blaOXA-54_1,AY500137
331,blaOXA-55_1_AY343493,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem",Enzymatic inactivation,blaOXA-55_1,AY343493
332,blaOXA-56_1_AY445080,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-56_1,AY445080
333,blaOXA-57_1_AJ631966,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-57_1,AJ631966
334,blaOXA-58_1_AY665723,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem, Meropenem",Enzymatic inactivation,blaOXA-58_1,AY665723
335,blaOXA-59_1_AJ632249,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-59_1,AJ632249
336,blaOXA-60_1_AF525303,Beta-lactam,"Amoxicillin, Amoxicillin+Clavulanic acid, Ampicillin, Ampicillin+Clavulanic acid, Imipenem",Enzymatic inactivation,blaOXA-60_1,AF525303
337,blaOXA-60d_1_AY664506,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-60d_1,AY664506
338,blaOXA-60c_1_AY664505,Beta-lactam,Unknown Beta-lactam,Enzymatic inactivation,blaOXA-60c_1,AY664505
